entrada,saida,formato_completo
"movimente 57 centímetros à frente, após isso 83 centímetros do lado direito",57F83R,"[movimente 57 centímetros à frente, após isso 83 centímetros do lado direito → 57F83R]"
caminha 78 m para trás em seguida 41 m esquerda,78B41L,[caminha 78 m para trás em seguida 41 m esquerda → 78B41L]
"faça 78 centimetro pra direita, e 32 centimetro na frente",78R32F,"[faça 78 centimetro pra direita, e 32 centimetro na frente → 78R32F]"
caminha 75 unidades para esquerda,75L,[caminha 75 unidades para esquerda → 75L]
desloque-se 9 retroceder e posteriormente 93 à frente,9B93F,[desloque-se 9 retroceder e posteriormente 93 à frente → 9B93F]
movimente 4 m esquerda,4L,[movimente 4 m esquerda → 4L]
execute movimento de 55 milímetros para direita,55R,[execute movimento de 55 milímetros para direita → 55R]
realize movimento de 62 pra esquerda seguido de 5 para trás,62L5B,[realize movimento de 62 pra esquerda seguido de 5 para trás → 62L5B]
faça movimento trás de 23 mm,23B,[faça movimento trás de 23 mm → 23B]
desloque-se 60 do lado esquerdo e posteriormente 98 pra trás,60L98B,[desloque-se 60 do lado esquerdo e posteriormente 98 pra trás → 60L98B]
prossiga 61cm frente,61F,[prossiga 61cm frente → 61F]
realize deslocamento de 34 passos pra trás,34B,[realize deslocamento de 34 passos pra trás → 34B]
movimente-se frente 21 passos,21F,[movimente-se frente 21 passos → 21F]
desloque 86 centimetro para frente,86F,[desloque 86 centimetro para frente → 86F]
execute 56 à direita após isso 7 voltar,56R7B,[execute 56 à direita após isso 7 voltar → 56R7B]
realize movimento de 2 para direita seguido de 14 pra direita,2R14R,[realize movimento de 2 para direita seguido de 14 pra direita → 2R14R]
"execute 80 em frente, 21 para direita, 55 recuar e 59 para a esquerda",80F21R55B59L,"[execute 80 em frente, 21 para direita, 55 recuar e 59 para a esquerda → 80F21R55B59L]"
vai 76m pra direita,76R,[vai 76m pra direita → 76R]
ande na direção de frente 16 metros,16F,[ande na direção de frente 16 metros → 16F]
caminhe para voltar 78 metros,78B,[caminhe para voltar 78 metros → 78B]
mova 95 centimetros para frente,95F,[mova 95 centimetros para frente → 95F]
realize movimento de 53 pra trás seguido de 80 para direita,53B80R,[realize movimento de 53 pra trás seguido de 80 para direita → 53B80R]
mova 72 m frente,72F,[mova 72 m frente → 72F]
avance lado direito 65 mm,65R,[avance lado direito 65 mm → 65R]
"execute 19 na frente, 65 para direita, 39 pra frente e 27 à direita",19F65R39F27R,"[execute 19 na frente, 65 para direita, 39 pra frente e 27 à direita → 19F65R39F27R]"
"desloque-se 61 pra trás, depois 95 na frente, então 95 frente e finalmente 19 à frente",61B95F95F19F,"[desloque-se 61 pra trás, depois 95 na frente, então 95 frente e finalmente 19 à frente → 61B95F95F19F]"
31 m na direção a direita,31R,[31 m na direção a direita → 31R]
desloque 87 centimetro à frente,87F,[desloque 87 centimetro à frente → 87F]
navegue na direção de direito 11 cm,11R,[navegue na direção de direito 11 cm → 11R]
caminha 30 metros para direita,30R,[caminha 30 metros para direita → 30R]
vai para trás 47 metros,47B,[vai para trás 47 metros → 47B]
"movimente 51 metros à direita, após isso 96 metros para a esquerda",51R96L,"[movimente 51 metros à direita, após isso 96 metros para a esquerda → 51R96L]"
realize deslocamento de 94 unidades para direita,94R,[realize deslocamento de 94 unidades para direita → 94R]
caminha em direção a trás 27 milímetros,27B,[caminha em direção a trás 27 milímetros → 27B]
"execute sequência: 89 para trás, 98 direita, 79 retroceder",89B98R79B,"[execute sequência: 89 para trás, 98 direita, 79 retroceder → 89B98R79B]"
49 cm recuar,49B,[49 cm recuar → 49B]
48 m para direita,48R,[48 m para direita → 48R]
"execute sequência: 71 frente, 33 para frente, 62 avante",71F33F62F,"[execute sequência: 71 frente, 33 para frente, 62 avante → 71F33F62F]"
desloque 20 centimetro avante,20F,[desloque 20 centimetro avante → 20F]
"movimente 87 centímetros para atrás, após isso 60 centímetros para a esquerda",87B60L,"[movimente 87 centímetros para atrás, após isso 60 centímetros para a esquerda → 87B60L]"
navegue 79 milímetros para recuar,79B,[navegue 79 milímetros para recuar → 79B]
realize deslocamento de 86 unidades para atrás,86B,[realize deslocamento de 86 unidades para atrás → 86B]
movimente-se 50 para esquerda e depois 36 para frente,50L36F,[movimente-se 50 para esquerda e depois 36 para frente → 50L36F]
"primeiro 24 lado direito, depois 1 avante",24R1F,"[primeiro 24 lado direito, depois 1 avante → 24R1F]"
"61 para a esquerda, 39 à direita, 18 para frente",61L39R18F,"[61 para a esquerda, 39 à direita, 18 para frente → 61L39R18F]"
execute movimento de 78 milímetros para a esquerda,78L,[execute movimento de 78 milímetros para a esquerda → 78L]
ande 99 para voltar e 22 para atrás,99B22B,[ande 99 para voltar e 22 para atrás → 99B22B]
"navegue 75 para esquerda, 41 para direito e 6 para a direita",75L41R6R,"[navegue 75 para esquerda, 41 para direito e 6 para a direita → 75L41R6R]"
"39 frente, 10 retroceder",39F10B,"[39 frente, 10 retroceder → 39F10B]"
proceda 2 passos do lado direito,2R,[proceda 2 passos do lado direito → 2R]
"avance 84 esquerda, 100 lado esquerdo e 43 adiante",84L100L43F,"[avance 84 esquerda, 100 lado esquerdo e 43 adiante → 84L100L43F]"
movimente 97 centímetros pra esquerda,97L,[movimente 97 centímetros pra esquerda → 97L]
navegue 50 milímetros direita e 97 milímetros trás,50R97B,[navegue 50 milímetros direita e 97 milímetros trás → 50R97B]
61 metros na frente,61F,[61 metros na frente → 61F]
siga 98 centímetros para direita,98R,[siga 98 centímetros para direita → 98R]
"faça 48 unidades lado direito, depois 6 unidades para a direita e por fim 17 unidades na frente",48R6R17F,"[faça 48 unidades lado direito, depois 6 unidades para a direita e por fim 17 unidades na frente → 48R6R17F]"
movimenta 25 centimetros pra trás e 12 centimetros do lado esquerdo,25B12L,[movimenta 25 centimetros pra trás e 12 centimetros do lado esquerdo → 25B12L]
faça movimento em frente de 18 centímetro,18F,[faça movimento em frente de 18 centímetro → 18F]
90 m avante,90F,[90 m avante → 90F]
proceda 38 m direita,38R,[proceda 38 m direita → 38R]
execute movimento de 73 centímetro pra frente,73F,[execute movimento de 73 centímetro pra frente → 73F]
"execute sequência: 15 trás, 53 voltar, 77 atrás",15B53B77B,"[execute sequência: 15 trás, 53 voltar, 77 atrás → 15B53B77B]"
realize deslocamento de 54 centimetro avante,54F,[realize deslocamento de 54 centimetro avante → 54F]
"sequência completa: 31 cm à esquerda, 66 cm pra frente, 83 cm para a esquerda, 11 cm direita",31L66F83L11R,"[sequência completa: 31 cm à esquerda, 66 cm pra frente, 83 cm para a esquerda, 11 cm direita → 31L66F83L11R]"
"movimente 70 centimetros voltar, após isso 72 centimetros à direita",70B72R,"[movimente 70 centimetros voltar, após isso 72 centimetros à direita → 70B72R]"
"faça 70 m para trás, depois 47 m trás e por fim 36 m à frente",70B47B36F,"[faça 70 m para trás, depois 47 m trás e por fim 36 m à frente → 70B47B36F]"
execute 50 pra trás depois 42 trás,50B42B,[execute 50 pra trás depois 42 trás → 50B42B]
"37 centímetros em direção à na frente, 72 centímetros em direção à direito",37F72R,"[37 centímetros em direção à na frente, 72 centímetros em direção à direito → 37F72R]"
desloque-se 28 m em frente,28F,[desloque-se 28 m em frente → 28F]
proceda 68 centímetros voltar,68B,[proceda 68 centímetros voltar → 68B]
"dirija-se 33 para direito, 7 para adiante e 13 para trás",33R7F13B,"[dirija-se 33 para direito, 7 para adiante e 13 para trás → 33R7F13B]"
dirija-se 37 cm lado esquerdo,37L,[dirija-se 37 cm lado esquerdo → 37L]
faça movimento atrás de 92 centímetro,92B,[faça movimento atrás de 92 centímetro → 92B]
realize deslocamento de 79 mm para direita,79R,[realize deslocamento de 79 mm para direita → 79R]
"desloque-se 27 para atrás, depois 75 lado esquerdo, então 94 pra direita e finalmente 72 voltar",27B75L94R72B,"[desloque-se 27 para atrás, depois 75 lado esquerdo, então 94 pra direita e finalmente 72 voltar → 27B75L94R72B]"
"faça 11 unidades na frente, depois 57 unidades para trás e por fim 59 unidades voltar",11F57B59B,"[faça 11 unidades na frente, depois 57 unidades para trás e por fim 59 unidades voltar → 11F57B59B]"
"locomova-se 57 retroceder, 2 frente e 83 pra direita",57B2F83R,"[locomova-se 57 retroceder, 2 frente e 83 pra direita → 57B2F83R]"
desloque-se 28 centimetro para recuar,28B,[desloque-se 28 centimetro para recuar → 28B]
realize deslocamento de 57 centimetro pra trás,57B,[realize deslocamento de 57 centimetro pra trás → 57B]
"sequência completa: 74 centimetro na frente, 51 centimetro para frente, 68 centimetro voltar, 63 centimetro para a esquerda",74F51F68B63L,"[sequência completa: 74 centimetro na frente, 51 centimetro para frente, 68 centimetro voltar, 63 centimetro para a esquerda → 74F51F68B63L]"
desloque-se rumo a atrás 92 centímetro,92B,[desloque-se rumo a atrás 92 centímetro → 92B]
"desloque-se 7 pra esquerda, 15 direita e 81 retroceder",7L15R81B,"[desloque-se 7 pra esquerda, 15 direita e 81 retroceder → 7L15R81B]"
desloque-se para esquerda 5 metros,5L,[desloque-se para esquerda 5 metros → 5L]
movimenta 38 centimetros para trás e 42 centimetros voltar,38B42B,[movimenta 38 centimetros para trás e 42 centimetros voltar → 38B42B]
mova 51 centimetro trás logo após 93 centimetro atrás,51B93B,[mova 51 centimetro trás logo após 93 centimetro atrás → 51B93B]
caminha 29 mm atrás e 9 mm pra esquerda,29B9L,[caminha 29 mm atrás e 9 mm pra esquerda → 29B9L]
18 milímetros na direção avante,18F,[18 milímetros na direção avante → 18F]
navegue 57 direita e depois 75 para esquerda,57R75L,[navegue 57 direita e depois 75 para esquerda → 57R75L]
movimenta 16 para a esquerda e depois 35 para esquerda,16L35L,[movimenta 16 para a esquerda e depois 35 para esquerda → 16L35L]
move na direção de esquerdo 78 centímetro,78L,[move na direção de esquerdo 78 centímetro → 78L]
"primeiro 18 frente, depois 33 para atrás",18F33B,"[primeiro 18 frente, depois 33 para atrás → 18F33B]"
locomova-se 96cm em frente,96F,[locomova-se 96cm em frente → 96F]
execute 44 para direita e 50 pra direita,44R50R,[execute 44 para direita e 50 pra direita → 44R50R]
"realize movimento triplo: 81 para direita, 93 retroceder, 26 à esquerda",81R93B26L,"[realize movimento triplo: 81 para direita, 93 retroceder, 26 à esquerda → 81R93B26L]"
avance 13centimetros lado esquerdo,13L,[avance 13centimetros lado esquerdo → 13L]
execute movimento de 62 centímetros para direita,62R,[execute movimento de 62 centímetros para direita → 62R]
execute 65 pra esquerda logo após 26 em frente,65L26F,[execute 65 pra esquerda logo após 26 em frente → 65L26F]
realize deslocamento de 54 m voltar,54B,[realize deslocamento de 54 m voltar → 54B]
faça movimento trás de 1 passos,1B,[faça movimento trás de 1 passos → 1B]
avance 94 para atrás e depois 31 trás,94B31B,[avance 94 para atrás e depois 31 trás → 94B31B]
"45 lado direito, 91 retroceder",45R91B,"[45 lado direito, 91 retroceder → 45R91B]"
"execute 68 frente, 24 recuar, 20 do lado esquerdo e 26 na frente",68F24B20L26F,"[execute 68 frente, 24 recuar, 20 do lado esquerdo e 26 na frente → 68F24B20L26F]"
mova 34 m para a esquerda,34L,[mova 34 m para a esquerda → 34L]
35 passos pra esquerda,35L,[35 passos pra esquerda → 35L]
mova-se 41 passos para atrás,41B,[mova-se 41 passos para atrás → 41B]
proceda 82 centímetro para esquerda,82L,[proceda 82 centímetro para esquerda → 82L]
"primeiro 99 para direita, depois 82 atrás",99R82B,"[primeiro 99 para direita, depois 82 atrás → 99R82B]"
caminha 32 mm frente depois 92 mm à frente depois 47 mm para trás,32F92F47B,[caminha 32 mm frente depois 92 mm à frente depois 47 mm para trás → 32F92F47B]
move em direção a frente 45 centimetros,45F,[move em direção a frente 45 centimetros → 45F]
"primeiro 13 lado esquerdo, depois 50 frente",13L50F,"[primeiro 13 lado esquerdo, depois 50 frente → 13L50F]"
faça movimento em frente de 59 centimetro,59F,[faça movimento em frente de 59 centimetro → 59F]
faça movimento do lado esquerdo de 95 centímetro,95L,[faça movimento do lado esquerdo de 95 centímetro → 95L]
mova 74 centimetros para a esquerda,74L,[mova 74 centimetros para a esquerda → 74L]
"mova 29 para recuar, 42 para na frente e 94 para a esquerda",29B42F94L,"[mova 29 para recuar, 42 para na frente e 94 para a esquerda → 29B42F94L]"
"primeiro 27 pra trás, então 50 trás, finalmente 21 à direita",27B50B21R,"[primeiro 27 pra trás, então 50 trás, finalmente 21 à direita → 27B50B21R]"
execute 18 do lado esquerdo após isso 92 para frente,18L92F,[execute 18 do lado esquerdo após isso 92 para frente → 18L92F]
73 centímetros direita,73R,[73 centímetros direita → 73R]
siga 4 centimetro para a esquerda e 59 centimetro avante,4L59F,[siga 4 centimetro para a esquerda e 59 centimetro avante → 4L59F]
96 unidades pra esquerda,96L,[96 unidades pra esquerda → 96L]
vá 20 do lado esquerdo,20L,[vá 20 do lado esquerdo → 20L]
dirija-se 49mm pra direita,49R,[dirija-se 49mm pra direita → 49R]
"19 lado direito, 100 para a direita, 58 à direita",19R100R58R,"[19 lado direito, 100 para a direita, 58 à direita → 19R100R58R]"
"ande 75 para direita, 30 para atrás e 90 para retroceder",75R30B90B,"[ande 75 para direita, 30 para atrás e 90 para retroceder → 75R30B90B]"
caminhe 31metros para esquerda,31L,[caminhe 31metros para esquerda → 31L]
57 unidades na direção direito,57R,[57 unidades na direção direito → 57R]
locomova-se 54 cm lado esquerdo,54L,[locomova-se 54 cm lado esquerdo → 54L]
vá 70 centímetros à frente e 62 centímetros pra direita,70F62R,[vá 70 centímetros à frente e 62 centímetros pra direita → 70F62R]
desloque 58 metros retroceder,58B,[desloque 58 metros retroceder → 58B]
"faça 65 mm para esquerda, então 42 mm à esquerda",65L42L,"[faça 65 mm para esquerda, então 42 mm à esquerda → 65L42L]"
"faça 57 passos avante, na sequência 39 passos em frente",57F39F,"[faça 57 passos avante, na sequência 39 passos em frente → 57F39F]"
"execute sequência: 2 do lado direito, 24 à frente, 30 direita",2R24F30R,"[execute sequência: 2 do lado direito, 24 à frente, 30 direita → 2R24F30R]"
caminha 34 para frente e 39 para atrás,34F39B,[caminha 34 para frente e 39 para atrás → 34F39B]
execute movimento de 45 centimetro para atrás,45B,[execute movimento de 45 centimetro para atrás → 45B]
"movimente-se 90 para adiante, 54 para atrás e 84 para direita",90F54B84R,"[movimente-se 90 para adiante, 54 para atrás e 84 para direita → 90F54B84R]"
"faça 82 passos recuar, após isso 3 passos para a direita",82B3R,"[faça 82 passos recuar, após isso 3 passos para a direita → 82B3R]"
movimente-se recuar 87 cm,87B,[movimente-se recuar 87 cm → 87B]
desloque 27 cm lado direito,27R,[desloque 27 cm lado direito → 27R]
movimente 67 passos do lado esquerdo,67L,[movimente 67 passos do lado esquerdo → 67L]
realize deslocamento de 22 centímetros frente,22F,[realize deslocamento de 22 centímetros frente → 22F]
"77 cm em direção a avante, 21 cm em direção a esquerdo",77F21L,"[77 cm em direção a avante, 21 cm em direção a esquerdo → 77F21L]"
vá 45 à frente,45F,[vá 45 à frente → 45F]
desloque 70 centimetros na frente,70F,[desloque 70 centimetros na frente → 70F]
ande 54 à direita e depois 94 esquerda,54R94L,[ande 54 à direita e depois 94 esquerda → 54R94L]
faça movimento para frente de 81 mm,81F,[faça movimento para frente de 81 mm → 81F]
proceda 75 centimetro lado esquerdo,75L,[proceda 75 centimetro lado esquerdo → 75L]
"79 na frente, 18 recuar, 3 à frente",79F18B3F,"[79 na frente, 18 recuar, 3 à frente → 79F18B3F]"
vai direita 81 mm,81R,[vai direita 81 mm → 81R]
execute movimento de 85 mm para esquerda,85L,[execute movimento de 85 mm para esquerda → 85L]
desloque 24 cm pra frente,24F,[desloque 24 cm pra frente → 24F]
"execute sequência: 95 na frente, 94 pra frente, 88 direita",95F94F88R,"[execute sequência: 95 na frente, 94 pra frente, 88 direita → 95F94F88R]"
caminhe pra frente 50 mm,50F,[caminhe pra frente 50 mm → 50F]
navegue para voltar 18 mm,18B,[navegue para voltar 18 mm → 18B]
mova 96 m frente,96F,[mova 96 m frente → 96F]
movimente 57 cm recuar,57B,[movimente 57 cm recuar → 57B]
16 m à direita,16R,[16 m à direita → 16R]
"movimente-se 17 à frente, depois 4 para frente, então 14 para esquerda e finalmente 12 à direita",17F4F14L12R,"[movimente-se 17 à frente, depois 4 para frente, então 14 para esquerda e finalmente 12 à direita → 17F4F14L12R]"
"faça 37 centimetro atrás, depois 75 centimetro retroceder e por fim 60 centimetro para a esquerda",37B75B60L,"[faça 37 centimetro atrás, depois 75 centimetro retroceder e por fim 60 centimetro para a esquerda → 37B75B60L]"
mova 48 milímetros pra trás,48B,[mova 48 milímetros pra trás → 48B]
"44 retroceder, 64 para atrás",44B64B,"[44 retroceder, 64 para atrás → 44B64B]"
proceda 7 cm para a esquerda,7L,[proceda 7 cm para a esquerda → 7L]
movimente 40 centímetros para esquerda,40L,[movimente 40 centímetros para esquerda → 40L]
"faça 18 metros pra frente, após isso 70 metros retroceder",18F70B,"[faça 18 metros pra frente, após isso 70 metros retroceder → 18F70B]"
vá 10 à frente,10F,[vá 10 à frente → 10F]
navegue do lado esquerdo 95 centímetros,95L,[navegue do lado esquerdo 95 centímetros → 95L]
"17 m rumo a atrás, 89 m rumo a esquerdo",17B89L,"[17 m rumo a atrás, 89 m rumo a esquerdo → 17B89L]"
"1 trás, 83 à frente",1B83F,"[1 trás, 83 à frente → 1B83F]"
"21 em frente, 81 frente, 46 esquerda, 52 atrás",21F81F46L52B,"[21 em frente, 81 frente, 46 esquerda, 52 atrás → 21F81F46L52B]"
realize deslocamento de 71 unidades pra esquerda,71L,[realize deslocamento de 71 unidades pra esquerda → 71L]
movimente 48 mm pra trás,48B,[movimente 48 mm pra trás → 48B]
"primeiro 81 lado direito, depois 28 esquerda",81R28L,"[primeiro 81 lado direito, depois 28 esquerda → 81R28L]"
desloque-se 72 lado direito e posteriormente 41 à esquerda,72R41L,[desloque-se 72 lado direito e posteriormente 41 à esquerda → 72R41L]
realize deslocamento de 80 milímetros em frente,80F,[realize deslocamento de 80 milímetros em frente → 80F]
73 mm lado esquerdo,73L,[73 mm lado esquerdo → 73L]
40 metros para a direita,40R,[40 metros para a direita → 40R]
desloque 17 cm pra esquerda,17L,[desloque 17 cm pra esquerda → 17L]
"primeiro 68 pra trás, depois 28 direita",68B28R,"[primeiro 68 pra trás, depois 28 direita → 68B28R]"
"8 pra trás, 54 para a esquerda",8B54L,"[8 pra trás, 54 para a esquerda → 8B54L]"
execute movimento de 73 passos para esquerda,73L,[execute movimento de 73 passos para esquerda → 73L]
"faça 71 mm pra esquerda, logo após 6 mm para trás",71L6B,"[faça 71 mm pra esquerda, logo após 6 mm para trás → 71L6B]"
"22 m para trás, 97 m para direita",22B97R,"[22 m para trás, 97 m para direita → 22B97R]"
73 milímetros do lado direito,73R,[73 milímetros do lado direito → 73R]
move 61centimetros atrás,61B,[move 61centimetros atrás → 61B]
movimenta 14 para esquerda e 22 para atrás,14L22B,[movimenta 14 para esquerda e 22 para atrás → 14L22B]
locomova-se 11 milímetros para esquerda,11L,[locomova-se 11 milímetros para esquerda → 11L]
navegue 59cm adiante,59F,[navegue 59cm adiante → 59F]
siga 97centímetro lado esquerdo,97L,[siga 97centímetro lado esquerdo → 97L]
desloque 33 centímetros para direita,33R,[desloque 33 centímetros para direita → 33R]
mova 4 unidades recuar,4B,[mova 4 unidades recuar → 4B]
prossiga 40mm para trás,40B,[prossiga 40mm para trás → 40B]
"97 para a esquerda, 94 pra esquerda, 53 recuar",97L94L53B,"[97 para a esquerda, 94 pra esquerda, 53 recuar → 97L94L53B]"
ande 50 passos para atrás depois 77 passos para a esquerda,50B77L,[ande 50 passos para atrás depois 77 passos para a esquerda → 50B77L]
movimente 15 mm para frente,15F,[movimente 15 mm para frente → 15F]
"execute 51 frente, 91 do lado direito, 7 do lado esquerdo e 51 para frente",51F91R7L51F,"[execute 51 frente, 91 do lado direito, 7 do lado esquerdo e 51 para frente → 51F91R7L51F]"
mova-se do lado esquerdo 16 m,16L,[mova-se do lado esquerdo 16 m → 16L]
74 unidades na direção em frente,74F,[74 unidades na direção em frente → 74F]
caminhe 15 m do lado esquerdo e 32 m para trás,15L32B,[caminhe 15 m do lado esquerdo e 32 m para trás → 15L32B]
"execute 63 à direita, 67 pra frente, 91 para trás e 55 na frente",63R67F91B55F,"[execute 63 à direita, 67 pra frente, 91 para trás e 55 na frente → 63R67F91B55F]"
mova 78 cm para trás e 55 cm do lado direito,78B55R,[mova 78 cm para trás e 55 cm do lado direito → 78B55R]
faça movimento para esquerda de 97 centímetro,97L,[faça movimento para esquerda de 97 centímetro → 97L]
desloque 95 m pra direita,95R,[desloque 95 m pra direita → 95R]
"faça 82 centimetro à frente, depois 61 centimetro à direita e por fim 23 centimetro avante",82F61R23F,"[faça 82 centimetro à frente, depois 61 centimetro à direita e por fim 23 centimetro avante → 82F61R23F]"
realize movimento de 64 frente seguido de 88 pra direita,64F88R,[realize movimento de 64 frente seguido de 88 pra direita → 64F88R]
desloque-se 52 centímetro para esquerda depois 77 centímetro voltar depois 42 centímetro lado direito,52L77B42R,[desloque-se 52 centímetro para esquerda depois 77 centímetro voltar depois 42 centímetro lado direito → 52L77B42R]
mova 97 m voltar,97B,[mova 97 m voltar → 97B]
"faça 38 centimetro para atrás, depois 4 centimetro para frente e por fim 55 centimetro avante",38B4F55F,"[faça 38 centimetro para atrás, depois 4 centimetro para frente e por fim 55 centimetro avante → 38B4F55F]"
"movimente 42 cm para frente, após isso 81 cm à esquerda",42F81L,"[movimente 42 cm para frente, após isso 81 cm à esquerda → 42F81L]"
"ande 66 para atrás, 100 para esquerda e 8 para na frente",66B100L8F,"[ande 66 para atrás, 100 para esquerda e 8 para na frente → 66B100L8F]"
"faça 36 mm direita, na sequência 28 mm à frente",36R28F,"[faça 36 mm direita, na sequência 28 mm à frente → 36R28F]"
"navegue 88 para trás, depois 57 em frente, então 71 adiante e finalmente 67 para atrás",88B57F71F67B,"[navegue 88 para trás, depois 57 em frente, então 71 adiante e finalmente 67 para atrás → 88B57F71F67B]"
dirija-se 94 do lado esquerdo e depois 81 lado direito,94L81R,[dirija-se 94 do lado esquerdo e depois 81 lado direito → 94L81R]
"sequência completa: 85 centímetros direita, 47 centímetros à direita, 34 centímetros retroceder, 10 centímetros esquerda",85R47R34B10L,"[sequência completa: 85 centímetros direita, 47 centímetros à direita, 34 centímetros retroceder, 10 centímetros esquerda → 85R47R34B10L]"
execute 58 pra trás após isso 35 para trás,58B35B,[execute 58 pra trás após isso 35 para trás → 58B35B]
siga 33 para frente e 66 para avante,33F66F,[siga 33 para frente e 66 para avante → 33F66F]
"movimente 77 mm à frente, após isso 100 mm para atrás",77F100B,"[movimente 77 mm à frente, após isso 100 mm para atrás → 77F100B]"
"locomova-se 15 para a direita, 54 do lado esquerdo e 80 à direita",15R54L80R,"[locomova-se 15 para a direita, 54 do lado esquerdo e 80 à direita → 15R54L80R]"
"faça 81 unidades para atrás, depois 23 unidades retroceder",81B23B,"[faça 81 unidades para atrás, depois 23 unidades retroceder → 81B23B]"
59 centímetro para frente,59F,[59 centímetro para frente → 59F]
"movimente 5 milímetros do lado esquerdo, após isso 27 milímetros à frente",5L27F,"[movimente 5 milímetros do lado esquerdo, após isso 27 milímetros à frente → 5L27F]"
"11 centimetros em direção a recuar, 52 centimetros em direção a direita",11B52R,"[11 centimetros em direção a recuar, 52 centimetros em direção a direita → 11B52R]"
"sequência completa: 51 mm para direita, 9 mm frente, 100 mm direita, 25 mm para atrás",51R9F100R25B,"[sequência completa: 51 mm para direita, 9 mm frente, 100 mm direita, 25 mm para atrás → 51R9F100R25B]"
realize deslocamento de 33 centimetro à frente,33F,[realize deslocamento de 33 centimetro à frente → 33F]
dirija-se 33 passos para esquerda,33L,[dirija-se 33 passos para esquerda → 33L]
71 cm atrás,71B,[71 cm atrás → 71B]
vá 69 m à frente e 70 m para direita,69F70R,[vá 69 m à frente e 70 m para direita → 69F70R]
"faça 82 m para trás, na sequência 69 m direita",82B69R,"[faça 82 m para trás, na sequência 69 m direita → 82B69R]"
"realize movimento triplo: 55 pra direita, 73 frente, 98 na frente",55R73F98F,"[realize movimento triplo: 55 pra direita, 73 frente, 98 na frente → 55R73F98F]"
proceda 15 m à direita,15R,[proceda 15 m à direita → 15R]
desloca 79mm voltar,79B,[desloca 79mm voltar → 79B]
mova 85 milímetros esquerda,85L,[mova 85 milímetros esquerda → 85L]
locomova-se 42 unidades para esquerda,42L,[locomova-se 42 unidades para esquerda → 42L]
faça movimento atrás de 97 centimetro,97B,[faça movimento atrás de 97 centimetro → 97B]
execute movimento de 59 centímetros pra esquerda,59L,[execute movimento de 59 centímetros pra esquerda → 59L]
"primeiro 82 para direita, então 35 na frente, finalmente 6 trás",82R35F6B,"[primeiro 82 para direita, então 35 na frente, finalmente 6 trás → 82R35F6B]"
desloque 65 unidades esquerda,65L,[desloque 65 unidades esquerda → 65L]
desloque 92 centimetros frente,92F,[desloque 92 centimetros frente → 92F]
vá 80 à esquerda,80L,[vá 80 à esquerda → 80L]
desloque 85 centimetro para a esquerda,85L,[desloque 85 centimetro para a esquerda → 85L]
movimente 47 unidades para trás,47B,[movimente 47 unidades para trás → 47B]
"10 pra direita, 11 para atrás",10R11B,"[10 pra direita, 11 para atrás → 10R11B]"
mova 44 mm na frente,44F,[mova 44 mm na frente → 44F]
"sequência completa: 23 centimetros para trás, 8 centimetros pra esquerda, 67 centimetros para atrás, 18 centimetros lado esquerdo",23B8L67B18L,"[sequência completa: 23 centimetros para trás, 8 centimetros pra esquerda, 67 centimetros para atrás, 18 centimetros lado esquerdo → 23B8L67B18L]"
siga 99 passos lado esquerdo após isso 8 passos lado direito,99L8R,[siga 99 passos lado esquerdo após isso 8 passos lado direito → 99L8R]
realize deslocamento de 41 m direita,41R,[realize deslocamento de 41 m direita → 41R]
"movimente 84 cm pra direita, após isso 97 cm para a esquerda",84R97L,"[movimente 84 cm pra direita, após isso 97 cm para a esquerda → 84R97L]"
realize deslocamento de 46 unidades retroceder,46B,[realize deslocamento de 46 unidades retroceder → 46B]
siga para trás 10 passos,10B,[siga para trás 10 passos → 10B]
prossiga 79 para direita e 61 para trás,79R61B,[prossiga 79 para direita e 61 para trás → 79R61B]
vá 42 centimetros para frente e 61 centimetros direita,42F61R,[vá 42 centimetros para frente e 61 centimetros direita → 42F61R]
ande para frente 65 unidades,65F,[ande para frente 65 unidades → 65F]
"avance 9 para atrás, 97 para trás e 46 para voltar",9B97B46B,"[avance 9 para atrás, 97 para trás e 46 para voltar → 9B97B46B]"
navegue frente 11 centímetros,11F,[navegue frente 11 centímetros → 11F]
desloque 38 metros para a esquerda,38L,[desloque 38 metros para a esquerda → 38L]
vai 2 centímetro pra frente,2F,[vai 2 centímetro pra frente → 2F]
70 milímetros em frente,70F,[70 milímetros em frente → 70F]
"realize movimento triplo: 36 para frente, 45 pra esquerda, 68 lado direito",36F45L68R,"[realize movimento triplo: 36 para frente, 45 pra esquerda, 68 lado direito → 36F45L68R]"
9 unidades na direção retroceder,9B,[9 unidades na direção retroceder → 9B]
movimenta 78 unidades frente,78F,[movimenta 78 unidades frente → 78F]
"primeiro 72 pra frente, então 71 voltar, finalmente 30 avante",72F71B30F,"[primeiro 72 pra frente, então 71 voltar, finalmente 30 avante → 72F71B30F]"
ande 61 cm para frente,61F,[ande 61 cm para frente → 61F]
proceda 53 milímetros avante,53F,[proceda 53 milímetros avante → 53F]
caminhe 23 centimetro para frente,23F,[caminhe 23 centimetro para frente → 23F]
"primeiro 15 direita, depois 16 esquerda",15R16L,"[primeiro 15 direita, depois 16 esquerda → 15R16L]"
realize deslocamento de 70 passos voltar,70B,[realize deslocamento de 70 passos voltar → 70B]
vai à frente 88 centimetros,88F,[vai à frente 88 centimetros → 88F]
